Store,elasticity,r2
146,-0.04863864273815134,0.581321743604998
149,-0.06616513131823765,0.6516188674361569
153,-0.10775840414849214,0.745594958393938
155,-0.03481173682763261,0.49366267361711935
156,-0.11632490920788362,0.7013443408165665
158,-0.012660138966851503,0.37847132678798623
162,-0.04683492980920864,0.568581606631537
164,-0.08289530661318739,0.6865757093299727
165,-0.05992488372025971,0.672284004015232
166,-0.02422142824189863,0.49338780120736614
169,-0.033611276940109694,0.5745950077346234
170,-0.05395097478972232,0.5314733833297379
172,-0.013014205836082177,0.5632752641778725
174,-0.014673064187183338,0.4375074236560248
177,-0.09324149710677314,0.6990310399624357
181,-0.10027121240826212,0.7333180262318777
182,-0.036751494032661314,0.5343503026937158
186,-0.048046865525615545,0.5744925765614225
188,-0.04931066232781324,0.5862313520505067
190,-0.04385575562792618,0.5822987119605362
191,-0.012423305673981332,0.3873552474092239
192,-0.00813238915832206,0.7348126112681541
194,-0.028055107206147928,0.5043337255475677
196,-0.057901888622806555,0.5854286939543426
198,-0.17193121100805964,0.7318229375625847
199,-0.042950364540777164,0.5367905181054445
201,-0.03116135321316306,0.43050812899091884
204,-0.03991315677845166,0.5744363122729591
206,-0.06219368431032373,0.632333152527669
209,-0.06592938431648021,0.5495482112748484
210,-0.05154810396925738,0.6042098686045848
213,-0.04617449467723009,0.5914430021924154
214,-0.0289414905906539,0.3958863139384412
215,-0.05007194136464238,0.6071478327802101
216,-0.04520219372571624,0.5247470256917539
218,-0.07444912674608493,0.6480388783501736
223,-0.06023151698071571,0.5866259514153592
224,-0.03337753640163338,0.5832914332290698
228,-0.025992944389954142,0.4976345546813705
229,-0.0471330433901218,0.5722681463310363
231,-0.04491587750509218,0.5726685378687931
232,-0.050644069126476614,0.5344783944110016
235,-0.08710402519637694,0.6988755920417524
238,-0.05299921532178141,0.5749900202854021
242,-0.07903685549999107,0.6160552709661897
243,-0.07053626322564599,0.6656798350552573
244,-0.0576537048625656,0.5747749519451395
247,-0.052143206504471545,0.5913373942222093
248,-0.030071424738327072,0.5712314185224014
250,-0.054203625961917884,0.5862460688543254
252,-0.054327797561739694,0.5911012595681375
253,-0.07838848388268721,0.6127910312090386
254,-0.03036105950326319,0.4214970224583098
255,-0.028511869821237726,0.4873515353560991
256,-0.04055180431238857,0.47647616240388324
258,-0.04029239270851893,0.537907347234496
261,-0.10817473727491014,0.7510982845327622
263,-0.0033122839128690573,0.5067790255374707
265,-0.09589831950718233,0.6696595418316466
266,-0.07013088523975308,0.6597200073778506
271,-0.12739444746741002,0.7245273903792511
272,-0.09651888612205091,0.7163918258076485
274,-0.008761779847503356,0.5836453131679054
275,-0.035130686392091263,0.541428201725068
276,-0.07591509319983306,0.7009233170159535
277,-0.05149414574258647,0.5847958476525721
279,-0.04369623294325764,0.5413557815696339
280,-0.030382561216337284,0.4189520604537945
283,-0.02361919578740633,0.4078868781433741
284,-0.037509964103081946,0.592077605909463
287,-0.010015731756748483,0.3470066379542437
288,-0.05024747535527432,0.5180941724609568
295,-0.04424859275975407,0.5417067650823678
296,-0.06867545692864621,0.66196845201443
300,-0.02263196901279503,0.5448293115702665
302,-0.033971820305582906,0.5077772608080533
303,-0.060685828852792,0.6034697726278866
305,-0.026692428923311584,0.6421966092429747
306,-0.05938254233982458,0.6666202646665751
308,-0.05660423217795392,0.573256811951675
309,-0.07064503106970152,0.6823048570476641
310,-0.09312987965027836,0.5934280181381564
314,-0.07247261871969349,0.6576804420924758
317,-0.020138047189032268,0.39968227779043786
319,-0.03699241605051946,0.5621944149074438
321,-0.03166020106816723,0.4965543879307328
322,-0.11405987595974103,0.720546106373094
323,-0.025338279947382844,0.5091282755941733
324,-0.10939696740585544,0.6478098653884699
325,-0.06496174785681616,0.5968746785130785
326,-0.024060644756303068,0.5238737835067209
329,-0.07515487830916658,0.6563680868310405
330,-0.033151092974851665,0.47089218255223175
331,-0.060197827319485045,0.5866841556738897
334,-0.03744232623756142,0.5370632902984857
335,-0.09540660834919348,0.7394757769954634
337,-0.014186866834622669,0.4126300091038746
338,-0.05522559993735579,0.6214626552129106
339,-0.03780106611146592,0.5396707132461087
342,-0.024698400658004556,0.4878245368890577
343,-0.05768684770450103,0.5485614803697518
344,-0.06748862927481905,0.6474722388699106
345,-0.06501980288931887,0.6422794159539025
347,-0.017798679594578592,0.4540812385798362
348,-0.019033581299634977,0.4098595002729699
350,-0.04050263702377019,0.5555280037395003
351,-0.04715967149075625,0.5688226954298898
352,-0.022826519182134495,0.48698493335302484
353,-0.014289820233873665,0.6755194057413463
356,-0.013654459400865904,0.5105423480646964
361,-0.045672802757623365,0.5748958122365337
364,-0.047853522937781,0.6948226989383801
365,-0.0331305901285483,0.5154574083150438
368,-0.06578986765582684,0.6297338449220158
370,-0.043912707445118916,0.5305351288939728
371,-0.048037039329557774,0.5642165232021652
372,-0.04227645280174046,0.5396732687901501
373,-0.023755451709401465,0.47962365523320594
375,-0.10534933976525122,0.6622758756058071
377,-0.04238578006978587,0.6118550800868428
380,-0.039645423785060585,0.5815536528466858
381,-0.06700375875094004,0.6886345142723713
384,-0.0718102387416823,0.6332471101030603
386,-0.047994827158854406,0.5888744687058745
387,-0.06030645651364572,0.5747769465527366
391,-0.07927407550719152,0.6079877053434248
397,-0.06266802290447973,0.5994391395005283
398,-0.045353444703622264,0.5782485242792763
399,-0.043923836274523606,0.5057768210615613
400,-0.08029067896709353,0.6493888681919543
401,-0.08674549639205512,0.6804294922174536
402,-0.02395345025511001,0.4232865881219301
404,-0.06381021586837818,0.6130889117199905
405,-0.09364089160389841,0.7201555144319071
406,-0.025712098149666573,0.6682737805259723
407,-0.03667732456841605,0.49171816335951424
408,-0.03539931196554025,0.5417715011628755
409,-0.03898631107770445,0.5561817037853269
410,-0.07064019022763941,0.6077905759413821
